Function,Week,Nb Initial Observations,Input,Candidates Points,Resolution,Nb Candidates,Surrogate,Kernel,Acquisition,Params,Hyperparams
F_1,1,10,Initial,Cartesian Grid - Global,50²,"2,500",GP,RBF,UCB,κ=1.5,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_1,2,10,Previous,Cartesian Grid - Global,50²,"2,500",GP,RBF,UCB,κ=1.5,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_1,3,10,Previous,Cartesian Grid - Global,50²,"2,500",GP,RBF,UCB,κ=2.0,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_1,4,10,Previous,Cartesian Grid - Global,50²,"2,500",GP,RBF,UCB,κ=2.25,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_1,5,10,Previous,Cartesian Grid - Global,500²,"250,000",GP,RBF,EI,ξ=0,"RBF_initial_length_scale=0.2, RBF_length_scale_bounds=(0.05, 1.0)"
F_1,6,10,Previous,Cartesian Grid - Global,500²,"250,000",GP,RBF,EI,ξ=0,"RBF_initial_length_scale=0.2, RBF_length_scale_bounds=(0.05, 1.0)"
F_1,7,10,Previous,Cartesian Grid - Global,500²,"250,000",GP,RBF,EI,ξ=0,"RBF_initial_length_scale=0.2, RBF_length_scale_bounds=(0.05, 1.0)"
F_1,8,10,Previous,Cartesian Grid - Global,500²,"250,000",GP,RBF,EI,ξ=0,"RBF_initial_length_scale=0.2, RBF_length_scale_bounds=(0.05, 1.0)"
F_1,9,10,Previous,Random Search - Local,-,"50,000",GP,Matérn 3/2,PI,ξ=0; radius=0.005,"Matern_initial_length_scale=[0.0025, 0.0025], Matern_length_scale_bounds=(1e-4, 0.05)"
F_1,10,10,Previous,Random Search - Local,-,"50,000",GP,Matérn 3/2,PI,ξ=0; radius=0.01,"Matern_initial_length_scale=[0.0025, 0.0025], Matern_length_scale_bounds=(1e-4, 0.05)"
F_1,11,10,Previous,Random Search - Local,-,"50,000",GP,Matérn 3/2,PI,ξ=0; radius=0.002,"Matern_initial_length_scale=[0.0025, 0.0025], Matern_length_scale_bounds=(1e-4, 0.05)"
F_1,12,10,Previous,Targeted Diagnostics Search,-,-,-,-,-,-,-
F_1,13,10,Previous,Targeted Diagnostics Search,-,-,-,-,-,-,-
F_2,1,10,Initial,Cartesian Grid - Global,50²,"2,500",GP,RBF,UCB,κ=1.5,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_2,2,10,Previous,Cartesian Grid - Global,50²,"2,500",GP,RBF,UCB,κ=1.5,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_2,3,10,Previous,Cartesian Grid - Global,50²,"2,500",GP,RBF,UCB,κ=1.5,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_2,4,10,Previous,Cartesian Grid - Global,50²,"2,500",GP,RBF,UCB,κ=2.25,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_2,5,10,Previous,Cartesian Grid - Constrained,500²,"27,500",GP,RBF,UCB,κ=0.25,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_2,6,10,Override,Cartesian Grid - Global,500²,"250,000",GP,RBF,EI,ξ=0,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_2,7,10,Previous,Cartesian Grid - Global,500²,"250,000",GP,RBF,EI,ξ=0,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_2,8,10,Previous,Cartesian Grid - Global,500²,"250,000",GP,RBF,EI,ξ=0,"RBF_length_scale=0.2, RBF_length_scale_bounds=""fixed"""
F_2,9,10,Previous,Targeted Diagnostics Search,-,-,-,-,-,-,-
F_2,10,10,Previous,Targeted Diagnostics Search,-,-,-,-,-,-,-
F_2,11,10,Previous,Cartesian Grid - Local,1000²,"1,000,000",GP,Matérn 5/2,PI,ξ=0; min_distance=0.005,"Matern_initial_length_scale=[0.02, 0.02]"
F_2,12,10,Previous,Cartesian Grid - Local,1000²,"1,000,000",GP,Matérn 5/2,PI,ξ=0; min_distance=0.005,"Matern_initial_length_scale=[0.02, 0.02]"
F_2,13,10,Previous,Targeted Diagnostics Search,-,-,-,-,-,-,-
F_3,1,15,Initial,Cartesian Grid - Global,50³,"125,000",GP,RBF,UCB,κ=1.5,RBF_initial_length_scale=0.2
F_3,2,15,Previous,Cartesian Grid - Global,50³,"125,000",GP,RBF,UCB,κ=1.5,RBF_initial_length_scale=0.2
F_3,3,15,Previous,Cartesian Grid - Global,50³,"125,000",GP,RBF,UCB,κ=1.5,RBF_initial_length_scale=0.2
F_3,4,15,Previous,Cartesian Grid - Global,50³,"125,000",GP,RBF,UCB,κ=4.0,RBF_initial_length_scale=0.2
